HAddress,HAttractions,HGFW,HImages,HLanguage,HName,HPMax,HPMin,HPRange,HQuestions,HRImages,HRNumber,HRank,HRankreview,HRating,HRestaurants,HReview,HRoom,HStyles,HVideos,URL
"4 Nguyen Binh, Hue Vietnam",1,75,N/A,N/A,Codo Home Art Graden Bungalow,$15 ,$11 ,$11 - $15,"Which popular attractions are close to Codo Home Art Graden Bungalow?, ,What are some restaurants close to Codo Home Art Graden Bungalow?, ",N/A,N/A,N/A,N/A,N/A,16,N/A,N/A,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293926-d20217727-Reviews-Codo_Home_Art_Graden_Bungalow-Hue_Thua_Thien_Hue_Province.html
"41/7 Ngo Quyen, Hue, Hue Vietnam",10,90,N/A,N/A,Thanh Huong Homestay,$11 ,$11 ,$11 - $11,"Which popular attractions are close to Thanh Huong Homestay?, ,What are some restaurants close to Thanh Huong Homestay?, ,Is Thanh Huong Homestay located near the city center?, ",N/A,3,#131 of 267 Specialty lodging in Hue,30,N/A,39,Average,N/A,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293926-d13834386-Reviews-Thanh_Huong_Homestay-Hue_Thua_Thien_Hue_Province.html
"Group 17, Area 1, Hue Vietnam",113,37,N/A,N/A,Lana Homestay,$11 ,$11 ,$11 - $11,"Which popular attractions are close to Lana Homestay?, ,What are some restaurants close to Lana Homestay?, ",N/A,N/A,N/A,N/A,N/A,467,N/A,N/A,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293926-d17804057-Reviews-Lana_Homestay-Hue_Thua_Thien_Hue_Province.html
"66 Ngo Quyen, Hue Vietnam",8,91,3,Vietnamese,Duc Tai 22 Guesthouse,$14 ,$11 ,$11 - $14,"Which popular attractions are close to Duc Tai 22 Guesthouse?, ,Which room amenities are available at Duc Tai 22 Guesthouse?, ,What are some restaurants close to Duc Tai 22 Guesthouse?, ,Is Duc Tai 22 Guesthouse located near the city center?, ",24,7,#153 of 267 Specialty lodging in Hue,25,N/A,37,Average,N/A,N/A,24,https://www.tripadvisor.com/Hotel_Review-g293926-d12392906-Reviews-Duc_Tai_22_Guesthouse-Hue_Thua_Thien_Hue_Province.html
"44 Truong Gia Mo, Hue Vietnam",0,73,N/A,"English, Chinese, Vietnamese",Gia Khanh Guest House,$12 ,$11 ,$11 - $12,"What are some restaurants close to Gia Khanh Guest House?, ,Which languages are spoken by the staff at Gia Khanh Guest House?, ",N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293926-d12331688-Reviews-Gia_Khanh_Guest_House-Hue_Thua_Thien_Hue_Province.html
"Binh An, Hue Vietnam",N/A,N/A,N/A,N/A,Anh Dung Guest House,$11 ,$11 ,$11 - $11,"Which popular attractions are close to Anh Dung Guest House?, ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293926-d13835967-Reviews-Anh_Dung_Guest_House-Hue_Thua_Thien_Hue_Province.html
"4B Van Cao, Hue Vietnam",5,81,N/A,N/A,Hoala Homestay,$11 ,$11 ,$11 - $11,"Which popular attractions are close to Hoala Homestay?, ,What are some restaurants close to Hoala Homestay?, ",N/A,N/A,N/A,N/A,N/A,44,N/A,N/A,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293926-d20226206-Reviews-Hoala_Homestay-Hue_Thua_Thien_Hue_Province.html
"48/18 Ngo Quyen 4, Hue Vietnam",8,89,N/A,N/A,Dimpless Homestay,$16 ,$11 ,$11 - $16,"Which popular attractions are close to Dimpless Homestay?, ,What are some restaurants close to Dimpless Homestay?, ,Is Dimpless Homestay located near the city center?, ",N/A,N/A,N/A,N/A,N/A,35,N/A,N/A,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293926-d20862872-Reviews-Dimpless_Homestay-Hue_Thua_Thien_Hue_Province.html
"32 Tran Van On Xuan Phu, Hue 530000 Vietnam",6,71,N/A,N/A,Khach San Quynh Ngoc,$12 ,$11 ,$11 - $12,"Which popular attractions are close to Khach San Quynh Ngoc?, ,What are some of the property amenities at Khach San Quynh Ngoc?, ,Is parking available at Khach San Quynh Ngoc?, ,What are some restaurants close to Khach San Quynh Ngoc?, ,Does Khach San Quynh Ngoc have an airport shuttle?, ,Does Khach San Quynh Ngoc have airport transportation?, ,Are pets allowed at Khach San Quynh Ngoc?, ",N/A,N/A,N/A,N/A,N/A,22,N/A,12,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293926-d15187316-Reviews-Khach_San_Quynh_Ngoc-Hue_Thua_Thien_Hue_Province.html
"62, Le Loi Street, Hue Vietnam",3,83,N/A,"English, Vietnamese",Trang Tien Hotel,N/A,N/A,N/A,"Which popular attractions are close to Trang Tien Hotel?, ,What are some of the property amenities at Trang Tien Hotel?, ,Which room amenities are available at Trang Tien Hotel?, ,What food & drink options are available at Trang Tien Hotel?, ,What are some restaurants close to Trang Tien Hotel?, ,Is Trang Tien Hotel located near the city center?, ,Which languages are spoken by the staff at Trang Tien Hotel?, ",N/A,3,#64 of 183 B&Bs / Inns in Hue,40,N/A,11,Very good,N/A,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293926-d2402894-Reviews-Trang_Tien_Hotel-Hue_Thua_Thien_Hue_Province.html
"Phu Mong, Kim Long, Hue 0000 Vietnam",5,65,N/A,N/A,Stay Hostel,N/A,N/A,N/A,"Which popular attractions are close to Stay Hostel?, ,What are some of the property amenities at Stay Hostel?, ,What food & drink options are available at Stay Hostel?, ,Is parking available at Stay Hostel?, ,What are some restaurants close to Stay Hostel?, ,Does Stay Hostel have an airport shuttle?, ,Are pets allowed at Stay Hostel?, ",N/A,3,#73 of 183 B&Bs / Inns in Hue,35,N/A,35,Very good,40,Charming,N/A,https://www.tripadvisor.com/Hotel_Review-g293926-d2172672-Reviews-Stay_Hostel-Hue_Thua_Thien_Hue_Province.html
"48/36 Ngo Quyen 4, Hue Vietnam",5,83,N/A,N/A,Daisy Homestay,$26 ,$11 ,$11 - $26,"Which popular attractions are close to Daisy Homestay?, ,What are some restaurants close to Daisy Homestay?, ,Is Daisy Homestay located near the city center?, ",N/A,N/A,N/A,N/A,N/A,17,N/A,N/A,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293926-d20807048-Reviews-Daisy_Homestay-Hue_Thua_Thien_Hue_Province.html
"E31 Lich Doi, Hue Vietnam",3,84,N/A,N/A,Gia Anh Guesthouse,$12 ,$12 ,$12 - $12,"Which popular attractions are close to Gia Anh Guesthouse?, ,What are some restaurants close to Gia Anh Guesthouse?, ,Is Gia Anh Guesthouse located near the city center?, ",N/A,N/A,N/A,N/A,N/A,27,N/A,N/A,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293926-d19582696-Reviews-Gia_Anh_Guesthouse-Hue_Thua_Thien_Hue_Province.html
"09 Nguyen Cong Tru, Hue Vietnam",3,70,9,N/A,Velvet Rose Hotel,$14 ,$12 ,$12 - $14,"Which popular attractions are close to Velvet Rose Hotel?, ,What are some restaurants close to Velvet Rose Hotel?, ,Is Velvet Rose Hotel located near the city center?, ",14,11,#78 of 209 hotels in Hue,50,N/A,14,Excellent,10,Quaint,1,https://www.tripadvisor.com/Hotel_Review-g293926-d17673163-Reviews-Velvet_Rose_Hotel-Hue_Thua_Thien_Hue_Province.html
"510 Lac Long Quan 510 Lac Long Quan, Lang Co Vietnam",1,39,N/A,N/A,Champa Lang Co Hotel,$15 ,$12 ,$12 - $15,"Which popular attractions are close to Champa Lang Co Hotel?, ,What are some restaurants close to Champa Lang Co Hotel?, ",N/A,N/A,N/A,N/A,30,10,N/A,N/A,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g11923533-d20317010-Reviews-Champa_Lang_Co_Hotel-Lang_Co_Phu_Loc_District_Thua_Thien_Hue_Province.html
"village Long Ho Ha commune Huong Ho, Hue 8454 Vietnam",23,94,N/A,N/A,Tam Tinh Vien,N/A,N/A,N/A,"Which popular attractions are close to Tam Tinh Vien?, ,What are some restaurants close to Tam Tinh Vien?, ",N/A,4,#75 of 267 Specialty lodging in Hue,50,N/A,180,Excellent,2,Quaint,N/A,https://www.tripadvisor.com/Hotel_Review-g293926-d3478873-Reviews-Tam_Tinh_Vien-Hue_Thua_Thien_Hue_Province.html
"1/14 Nguyen Cong Tru, Hue Vietnam",26,92,N/A,N/A,V-A Tan Tien,N/A,N/A,N/A,"Which popular attractions are close to V-A Tan Tien?, ,What are some restaurants close to V-A Tan Tien?, ",N/A,4,#52 of 183 B&Bs / Inns in Hue,40,N/A,138,Very good,11,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293926-d1229278-Reviews-V_A_Tan_Tien-Hue_Thua_Thien_Hue_Province.html
"59 Ben Nghe, Phu Hoi, Hue Hue Vietnam",24,94,N/A,N/A,2you Hotel,N/A,N/A,N/A,"Which popular attractions are close to 2you Hotel?, ,What are some of the property amenities at 2you Hotel?, ,What are some restaurants close to 2you Hotel?, ,Does 2you Hotel have airport transportation?, ,Is 2you Hotel located near the city center?, ,Are any cleaning services offered at 2you Hotel?, ",N/A,4,#82 of 183 B&Bs / Inns in Hue,30,30,182,Average,19,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293926-d2501821-Reviews-2you_Hotel-Hue_Thua_Thien_Hue_Province.html
"18 Hung Vuong Road, Hue Vietnam",13,93,N/A,"English, Vietnamese",Thang Long,N/A,N/A,N/A,"Which popular attractions are close to Thang Long?, ,What are some of the property amenities at Thang Long?, ,Which room amenities are available at Thang Long?, ,What are some restaurants close to Thang Long?, ,Does Thang Long have airport transportation?, ,Is Thang Long located near the city center?, ,Are any cleaning services offered at Thang Long?, ,Which languages are spoken by the staff at Thang Long?, ",N/A,4,#127 of 209 hotels in Hue,35,10,101,Very good,16,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293926-d1200216-Reviews-Thang_Long-Hue_Thua_Thien_Hue_Province.html
"26 Pham Ngu Lao, Hue 84 Vietnam",26,94,N/A,N/A,Diem Thanh Hotel,N/A,N/A,N/A,"Which popular attractions are close to Diem Thanh Hotel?, ,What are some of the property amenities at Diem Thanh Hotel?, ,What food & drink options are available at Diem Thanh Hotel?, ,What are some restaurants close to Diem Thanh Hotel?, ",N/A,4,#129 of 209 hotels in Hue,30,N/A,176,Average,25,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293926-d1219327-Reviews-Diem_Thanh_Hotel-Hue_Thua_Thien_Hue_Province.html
"52 Chu Van An Street, Hue Vietnam",27,93,N/A,N/A,Thang Long 3 Hotel,N/A,N/A,N/A,"Which popular attractions are close to Thang Long 3 Hotel?, ,What are some of the property amenities at Thang Long 3 Hotel?, ,What food & drink options are available at Thang Long 3 Hotel?, ,What are some restaurants close to Thang Long 3 Hotel?, ",N/A,4,#55 of 183 B&Bs / Inns in Hue,40,10,167,Very good,20,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293926-d3751409-Reviews-Thang_Long_3_Hotel-Hue_Thua_Thien_Hue_Province.html
"7 Nguyen Tri Phuong St, Hue Vietnam",22,93,N/A,N/A,Thuan Hoa Hotel,N/A,N/A,N/A,"Which popular attractions are close to Thuan Hoa Hotel?, ,Which room amenities are available at Thuan Hoa Hotel?, ,What are some restaurants close to Thuan Hoa Hotel?, ,Is Thuan Hoa Hotel located near the city center?, ",N/A,4,#134 of 209 hotels in Hue,25,N/A,144,Average,331,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293926-d1103486-Reviews-Thuan_Hoa_Hotel-Hue_Thua_Thien_Hue_Province.html
"Lo C12B KDT The Manor Crown, Xuan Phu, Hue 530000 Vietnam",6,46,3,N/A,Soleil Hostel,$19 ,$12 ,$12 - $19,"Which popular attractions are close to Soleil Hostel?, ,What are some of the property amenities at Soleil Hostel?, ,What food & drink options are available at Soleil Hostel?, ,Is parking available at Soleil Hostel?, ,What are some restaurants close to Soleil Hostel?, ,Does Soleil Hostel have airport transportation?, ,Are any cleaning services offered at Soleil Hostel?, ",19,17,#51 of 267 Specialty lodging in Hue,45,20,39,Excellent,7,N/A,1,https://www.tripadvisor.com/Hotel_Review-g293926-d15530696-Reviews-Soleil_Hostel-Hue_Thua_Thien_Hue_Province.html
"Minh Mang street, Thuy Bang village, Huong Thuy ward, Hue Vietnam",N/A,N/A,N/A,"English, Vietnamese",Green Field Homestay,$15 ,$12 ,$12 - $15,"Which popular attractions are close to Green Field Homestay?, ,What are some of the property amenities at Green Field Homestay?, ,What food & drink options are available at Green Field Homestay?, ,Is parking available at Green Field Homestay?, ,What are some restaurants close to Green Field Homestay?, ,Are there opportunities to exercise at Green Field Homestay?, ,Are pets allowed at Green Field Homestay?, ,Which languages are spoken by the staff at Green Field Homestay?, ",N/A,11,#29 of 183 B&Bs / Inns in Hue,50,N/A,N/A,Excellent,5,"Family,Budget",N/A,https://www.tripadvisor.com/Hotel_Review-g293926-d12650683-Reviews-Green_Field_Homestay-Hue_Thua_Thien_Hue_Province.html
"64 Le Duan, Hue 530000 Vietnam",4,83,N/A,N/A,Viet Hostel,$20 ,$11 ,$11 - $20,"Which popular attractions are close to Viet Hostel?, ,What are some of the property amenities at Viet Hostel?, ,What food & drink options are available at Viet Hostel?, ,Is parking available at Viet Hostel?, ,What are some restaurants close to Viet Hostel?, ,Does Viet Hostel have airport transportation?, ,Is Viet Hostel located near the city center?, ",N/A,4,#72 of 267 Specialty lodging in Hue,50,N/A,10,Excellent,7,Quaint,N/A,https://www.tripadvisor.com/Hotel_Review-g293926-d17352329-Reviews-Viet_Hostel-Hue_Thua_Thien_Hue_Province.html
"40 Ki_t 42 Nguy_n Cong Tr_ Hue, Th_a Thien_Hu_ Province,, Hue 530000 Vietnam",27,92,4,"English, Japanese, Vietnamese",Hue King Homestay,$22 ,$10 ,$10 - $22,"Which popular attractions are close to Hue King Homestay?, ,What are some of the property amenities at Hue King Homestay?, ,Which room amenities are available at Hue King Homestay?, ,What food & drink options are available at Hue King Homestay?, ,Is parking available at Hue King Homestay?, ,What are some restaurants close to Hue King Homestay?, ,Does Hue King Homestay have an airport shuttle?, ,Does Hue King Homestay have airport transportation?, ,Which languages are spoken by the staff at Hue King Homestay?, ,Are there any historical sites close to Hue King Homestay?, ",22,5,#64 of 267 Specialty lodging in Hue,50,N/A,162,Excellent,5,N/A,1,https://www.tripadvisor.com/Hotel_Review-g293926-d19255014-Reviews-Hue_King_Homestay-Hue_Thua_Thien_Hue_Province.html
"12/35 Chu Van An, Hue 530000 Vietnam",27,92,N/A,N/A,Tam Homestay,$18 ,$13 ,$13 - $18,"Which popular attractions are close to Tam Homestay?, ,What are some restaurants close to Tam Homestay?, ",N/A,5,#93 of 209 hotels in Hue,50,N/A,160,Excellent,N/A,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293926-d19706715-Reviews-Tam_Homestay-Hue_Thua_Thien_Hue_Province.html
"21 Phung Hung Street Thuan Hoa, Hue 530000 Vietnam",9,88,11,N/A,Minh Tu Homestay,$22 ,$12 ,$12 - $22,"Which popular attractions are close to Minh Tu Homestay?, ,What are some of the property amenities at Minh Tu Homestay?, ,What food & drink options are available at Minh Tu Homestay?, ,Is parking available at Minh Tu Homestay?, ,What are some restaurants close to Minh Tu Homestay?, ,Is Minh Tu Homestay located near the city center?, ,Are pets allowed at Minh Tu Homestay?, ",3,3,#79 of 267 Specialty lodging in Hue,50,N/A,16,Excellent,6,N/A,1,https://www.tripadvisor.com/Hotel_Review-g293926-d15357800-Reviews-Minh_Tu_Homestay-Hue_Thua_Thien_Hue_Province.html
"99 Bui Thi Xuan, Hue 530000 Vietnam",10,65,1,Vietnamese,AD 41 Hotel Hue,$26 ,$12 ,$12 - $26,"Which popular attractions are close to AD 41 Hotel Hue?, ,What are some of the property amenities at AD 41 Hotel Hue?, ,Which room amenities are available at AD 41 Hotel Hue?, ,What food & drink options are available at AD 41 Hotel Hue?, ,Is parking available at AD 41 Hotel Hue?, ,What are some restaurants close to AD 41 Hotel Hue?, ,Are there opportunities to exercise at AD 41 Hotel Hue?, ,Does AD 41 Hotel Hue have an airport shuttle?, ,Does AD 41 Hotel Hue have airport transportation?, ,Is AD 41 Hotel Hue located near the city center?, ",5,1,#116 of 209 hotels in Hue,50,N/A,44,Excellent,50,N/A,1,https://www.tripadvisor.com/Hotel_Review-g293926-d19243628-Reviews-AD_41_Hotel_Hue-Hue_Thua_Thien_Hue_Province.html
"2/64 Nguyen Cong Tru, Hue Vietnam",N/A,N/A,N/A,"English, Vietnamese",Thanh Minh Hotel,$13 ,$12 ,$12 - $13,"What are some of the property amenities at Thanh Minh Hotel?, ,Is parking available at Thanh Minh Hotel?, ,What are some restaurants close to Thanh Minh Hotel?, ,Does Thanh Minh Hotel have an airport shuttle?, ,Does Thanh Minh Hotel have airport transportation?, ,Which languages are spoken by the staff at Thanh Minh Hotel?, ",N/A,1,#124 of 267 Specialty lodging in Hue,50,N/A,N/A,Excellent,18,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293926-d6521091-Reviews-Thanh_Minh_Hotel-Hue_Thua_Thien_Hue_Province.html
"132 Le Dai Hanh, Hue Vietnam",9,63,N/A,"English, German, Vietnamese",Jack's,$12 ,$12 ,$12 - $12,"Which popular attractions are close to Jack's?, ,What are some of the property amenities at Jack's?, ,Which room amenities are available at Jack's?, ,Is parking available at Jack's?, ,What are some restaurants close to Jack's?, ,Does Jack's have airport transportation?, ,Is Jack's located near the city center?, ,Are any cleaning services offered at Jack's?, ,Are pets allowed at Jack's?, ,Which languages are spoken by the staff at Jack's?, ",N/A,3,#89 of 267 Specialty lodging in Hue,45,N/A,38,Excellent,N/A,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293926-d12629837-Reviews-Jack_s-Hue_Thua_Thien_Hue_Province.html
"137/22 Tru_ng Chinh Hue Nguy?n Khoa Vy, V? D?, Hue 54000 Vietnam",0,64,N/A,N/A,Bennies House,$14 ,$12 ,$12 - $14,"What are some of the property amenities at Bennies House?, ,What food & drink options are available at Bennies House?, ,Is parking available at Bennies House?, ,What are some restaurants close to Bennies House?, ",N/A,1,#109 of 267 Specialty lodging in Hue,50,N/A,11,Excellent,5,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293926-d17484474-Reviews-Bennies_House-Hue_Thua_Thien_Hue_Province.html
"7, Alley 156 Phan Chu Trinh street, Hue Vietnam",19,69,20,"English, Vietnamese",Hai Nguyet Mini Hotel,$13 ,$12 ,$12 - $13,"Which popular attractions are close to Hai Nguyet Mini Hotel?, ,What are some of the property amenities at Hai Nguyet Mini Hotel?, ,Is parking available at Hai Nguyet Mini Hotel?, ,What are some restaurants close to Hai Nguyet Mini Hotel?, ,Does Hai Nguyet Mini Hotel have an airport shuttle?, ,Does Hai Nguyet Mini Hotel have airport transportation?, ,Is Hai Nguyet Mini Hotel located near the city center?, ,Which languages are spoken by the staff at Hai Nguyet Mini Hotel?, ",7,4,#120 of 267 Specialty lodging in Hue,40,20,86,Very good,N/A,N/A,1,https://www.tripadvisor.com/Hotel_Review-g293926-d12569178-Reviews-Hai_Nguyet_Mini_Hotel-Hue_Thua_Thien_Hue_Province.html
"375 Pham Van Dong, Hue Vietnam",19,54,N/A,N/A,Khach san Dong Dao,$12 ,$12 ,$12 - $12,"Which popular attractions are close to Khach san Dong Dao?, ,What are some restaurants close to Khach san Dong Dao?, ",N/A,N/A,N/A,N/A,N/A,110,N/A,13,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293926-d14005478-Reviews-Khach_san_Dong_Dao-Hue_Thua_Thien_Hue_Province.html
"Hamlet 3, Lai The Village, Phu Thuong Commune, Phu Vang District, Hue Vietnam",2,46,14,"English, Vietnamese",New Space Arts Stay,$30 ,$12 ,$12 - $30,"Which popular attractions are close to New Space Arts Stay?, ,What are some of the property amenities at New Space Arts Stay?, ,Which room amenities are available at New Space Arts Stay?, ,What food & drink options are available at New Space Arts Stay?, ,Is parking available at New Space Arts Stay?, ,What are some restaurants close to New Space Arts Stay?, ,Does New Space Arts Stay have airport transportation?, ,Are pets allowed at New Space Arts Stay?, ,Which languages are spoken by the staff at New Space Arts Stay?, ",1,3,#87 of 267 Specialty lodging in Hue,45,N/A,21,Excellent,N/A,Family,3,https://www.tripadvisor.com/Hotel_Review-g293926-d13284082-Reviews-New_Space_Arts_Stay-Hue_Thua_Thien_Hue_Province.html
"47/48 Ngo Quyen, Hue Vietnam",5,87,N/A,Vietnamese,Thanh Nga Guesthouse,$14 ,$11 ,$11 - $14,"Which popular attractions are close to Thanh Nga Guesthouse?, ,What are some of the property amenities at Thanh Nga Guesthouse?, ,Which room amenities are available at Thanh Nga Guesthouse?, ,Is parking available at Thanh Nga Guesthouse?, ,What are some restaurants close to Thanh Nga Guesthouse?, ,Is Thanh Nga Guesthouse located near the city center?, ",N/A,N/A,N/A,N/A,20,33,N/A,8,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293926-d9694793-Reviews-Thanh_Nga_Guesthouse-Hue_Thua_Thien_Hue_Province.html
"27 Han Mac Tu VY DA District, Hue 530000 Vietnam",3,72,N/A,N/A,Abs House,$13 ,$12 ,$12 - $13,"Which popular attractions are close to Abs House?, ,What are some restaurants close to Abs House?, ,Is Abs House located near the city center?, ",N/A,N/A,N/A,N/A,20,10,N/A,N/A,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293926-d15263240-Reviews-Abs_House-Hue_Thua_Thien_Hue_Province.html
"37 Ngo Quyen, Hue Vietnam",7,89,N/A,N/A,Thanh Dat Hostel,$17 ,$12 ,$12 - $17,"Which popular attractions are close to Thanh Dat Hostel?, ,What are some restaurants close to Thanh Dat Hostel?, ,Is Thanh Dat Hostel located near the city center?, ",N/A,1,#141 of 267 Specialty lodging in Hue,20,N/A,36,Poor,N/A,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293926-d18452285-Reviews-Thanh_Dat_Hostel-Hue_Thua_Thien_Hue_Province.html
"107 Nguyen Lo Trach, Hue Vietnam",1,74,N/A,N/A,Hai Anh Hostel,$13 ,$12 ,$12 - $13,"Which popular attractions are close to Hai Anh Hostel?, ,What are some restaurants close to Hai Anh Hostel?, ",N/A,N/A,N/A,N/A,N/A,17,N/A,N/A,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293926-d18341423-Reviews-Hai_Anh_Hostel-Hue_Thua_Thien_Hue_Province.html
"27 Le Trung Dinh Phuong Thuan Loc, Hue Vietnam",3,51,N/A,N/A,Hue Villa Homestay,$46 ,$12 ,$12 - $46,"Which popular attractions are close to Hue Villa Homestay?, ,What are some restaurants close to Hue Villa Homestay?, ",N/A,N/A,N/A,N/A,N/A,27,N/A,N/A,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293926-d19574492-Reviews-Hue_Villa_Homestay-Hue_Thua_Thien_Hue_Province.html
"103 Nguyen Sinh Cung Street, Hue Vietnam",0,68,N/A,"English, Vietnamese",Nhu Hien Hotel,$15 ,$12 ,$12 - $15,"What are some of the property amenities at Nhu Hien Hotel?, ,Which room amenities are available at Nhu Hien Hotel?, ,What food & drink options are available at Nhu Hien Hotel?, ,Is parking available at Nhu Hien Hotel?, ,What are some restaurants close to Nhu Hien Hotel?, ,Does Nhu Hien Hotel have airport transportation?, ,Which languages are spoken by the staff at Nhu Hien Hotel?, ",N/A,N/A,N/A,N/A,N/A,10,N/A,42,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293926-d3794001-Reviews-Nhu_Hien_Hotel-Hue_Thua_Thien_Hue_Province.html
"138 Truong Gia Mo, Hue 490000 Vietnam",14,53,3,N/A,Kmay Apartment,$17 ,$12 ,$12 - $17,"Which popular attractions are close to Kmay Apartment?, ,What are some restaurants close to Kmay Apartment?, ",1,1,#126 of 267 Specialty lodging in Hue,40,N/A,92,Very good,N/A,N/A,1,https://www.tripadvisor.com/Hotel_Review-g293926-d19141103-Reviews-Kmay_Apartment-Hue_Thua_Thien_Hue_Province.html
"16/154, Ba Trieu Street Phu Hoi Ward, Hue Vietnam",5,80,38,"English, Vietnamese",Everhome Hostel,$13 ,$12 ,$12 - $13,"Which popular attractions are close to Everhome Hostel?, ,What are some of the property amenities at Everhome Hostel?, ,What food & drink options are available at Everhome Hostel?, ,Is parking available at Everhome Hostel?, ,What are some restaurants close to Everhome Hostel?, ,Does Everhome Hostel have an airport shuttle?, ,Are any cleaning services offered at Everhome Hostel?, ,Which languages are spoken by the staff at Everhome Hostel?, ",18,34,#29 of 267 Specialty lodging in Hue,45,15,21,Excellent,N/A,"Family,Budget",2,https://www.tripadvisor.com/Hotel_Review-g293926-d12950280-Reviews-Everhome_Hostel-Hue_Thua_Thien_Hue_Province.html
"96 Le Loi, Hue 530000 Vietnam",27,94,2,"English, Vietnamese",Quan Hostel,$15 ,$12 ,$12 - $15,"Which popular attractions are close to Quan Hostel?, ,What are some of the property amenities at Quan Hostel?, ,What food & drink options are available at Quan Hostel?, ,Is parking available at Quan Hostel?, ,What are some restaurants close to Quan Hostel?, ,Are there opportunities to exercise at Quan Hostel?, ,Does Quan Hostel have an airport shuttle?, ,Does Quan Hostel have airport transportation?, ,Which languages are spoken by the staff at Quan Hostel?, ",23,5,#139 of 267 Specialty lodging in Hue,30,N/A,137,Average,6,Budget,2,https://www.tripadvisor.com/Hotel_Review-g293926-d13195968-Reviews-Quan_Hostel-Hue_Thua_Thien_Hue_Province.html
"16 D Phan Chu Trinh, Hue 47000 Vietnam",4,72,N/A,"English, Vietnamese",Minh Quang Guest House,$15 ,$12 ,$12 - $15,"Which popular attractions are close to Minh Quang Guest House?, ,What are some of the property amenities at Minh Quang Guest House?, ,Is parking available at Minh Quang Guest House?, ,What are some restaurants close to Minh Quang Guest House?, ,Does Minh Quang Guest House have airport transportation?, ,Is Minh Quang Guest House located near the city center?, ,Are pets allowed at Minh Quang Guest House?, ,Which languages are spoken by the staff at Minh Quang Guest House?, ",N/A,N/A,N/A,N/A,N/A,20,N/A,24,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293926-d6899965-Reviews-Minh_Quang_Guest_House-Hue_Thua_Thien_Hue_Province.html
"6 Ly Tu Trong, Hue Vietnam",1,57,N/A,"English, Vietnamese",Galaxy Guesthouse,$12 ,$12 ,$12 - $12,"Which popular attractions are close to Galaxy Guesthouse?, ,What are some of the property amenities at Galaxy Guesthouse?, ,Is parking available at Galaxy Guesthouse?, ,What are some restaurants close to Galaxy Guesthouse?, ,Does Galaxy Guesthouse have an airport shuttle?, ,Does Galaxy Guesthouse have airport transportation?, ,Are any cleaning services offered at Galaxy Guesthouse?, ,Which languages are spoken by the staff at Galaxy Guesthouse?, ",N/A,1,#70 of 183 B&Bs / Inns in Hue,40,N/A,11,Very good,N/A,Family,N/A,https://www.tripadvisor.com/Hotel_Review-g293926-d9802994-Reviews-Galaxy_Guesthouse-Hue_Thua_Thien_Hue_Province.html
"26 Tran Thuc Nhan St, Hue 530000 Vietnam",3,73,N/A,N/A,SPOT ON 924 Song Cam Hotel,N/A,N/A,N/A,"Which popular attractions are close to SPOT ON 924 Song Cam Hotel?, ,What are some of the property amenities at SPOT ON 924 Song Cam Hotel?, ,What food & drink options are available at SPOT ON 924 Song Cam Hotel?, ,What are some restaurants close to SPOT ON 924 Song Cam Hotel?, ,Is SPOT ON 924 Song Cam Hotel located near the city center?, ,Are there any historical sites close to SPOT ON 924 Song Cam Hotel?, ",N/A,2,#68 of 183 B&Bs / Inns in Hue,35,N/A,20,Very good,15,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293926-d1400669-Reviews-SPOT_ON_924_Song_Cam_Hotel-Hue_Thua_Thien_Hue_Province.html
